data.hora;data;tcle;cidade;uf;idade;sexo;raca;escolaridade;renda;rendafam;estcivil;filho_dep;qtd_filho_dep;plano;data_plano;plano_covid;preco_plano;pgt_plano;quarentena;teste_cov;result_teste_cov;contat_cov;morte_cov;equip_defensiv;gasto_equip_defensiv
06/04/2020 20:28;04/06/2020;;Brasília;DF;23;Masculino;Branco;;1675;;Solteiro;Não possuo filhos ou dependentes.;4;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;30
06/04/2020 20:33;04/06/2020;;Salvador;BA;26;Masculino;Pardo;;2500;;Casado;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;30
06/04/2020 20:55;04/06/2020;Sim;Teixeira de Freitas;BA;27;Masculino;Branco;;2000;;Casado;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:04;04/06/2020;Sim;Teixeira de Freitas;BA;44;Feminino;Pardo;;600;;Casado;Sim, filhos ou dependentes moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;240;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;120
06/04/2020 21:10;04/06/2020;Sim;Recife;PE;36;Masculino;Branco;;11100;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
06/04/2020 21:14;04/06/2020;Sim;Brasília;DF;52;Feminino;Branco;;10000;;Divorciado / Separado / desquitado;Não, meus filhos ou dependentes NÃO moram comigo.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;2000;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
06/04/2020 21:17;04/06/2020;Sim;Salvador;BA;47;Feminino;Branco;;11000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;2900;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;500
06/04/2020 21:19;04/06/2020;Sim;Patrocínio ;MG;27;Feminino;Branco;;8000;;Casado;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;80
06/04/2020 21:20;04/06/2020;Sim;Brasília;DF;26;Feminino;Pardo;;8300;;Solteiro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;430;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Sim;Negativo;;;Sim;90
06/04/2020 21:21;04/06/2020;Sim;Ipojuca;PE;26;Masculino;Pardo;;0;;Solteiro;Não possuo filhos ou dependentes.;3;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;150
06/04/2020 21:21;04/06/2020;Sim;Teixeira de Freitas;BA;35;Feminino;Pardo;;2000;;Casado;Sim, filhos ou dependentes moram comigo.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;220;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:21;04/06/2020;Sim;Cristianópolis ;GO;32;Feminino;Amarelo;;1000;;Solteiro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:25;04/06/2020;Sim;Silvânia;GO;26;Feminino;Branco;;4000;;Solteiro;Não possuo filhos ou dependentes.;4;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:26;04/06/2020;Sim;Recife;PE;27;Feminino;Branco;;4000;;Solteiro;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;233;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:26;04/06/2020;Sim;Anápolis;GO;60;Feminino;Branco;;12000;;Casado;Sim, filhos ou dependentes moram comigo.;5;Sim;Você contratou o plano de saúde DURANTE A PANDEMIA.;Não;120;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;;;;Sim;150
06/04/2020 21:27;04/06/2020;Sim;Teixeira de Freitas;BA;17;Masculino;Branco;;499;;Solteiro;Não possuo filhos ou dependentes.;2;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Sim;Negativo;;;Sim;150
06/04/2020 21:28;04/06/2020;Sim;Silvânia;GO;62;Masculino;Pardo;;25000;;Casado;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;800;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;120
06/04/2020 21:28;04/06/2020;Sim;Brasília;DF;52;Feminino;Branco;;10000;;Divorciado / Separado / desquitado;Não, meus filhos ou dependentes NÃO moram comigo.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;2000;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
06/04/2020 21:30;04/06/2020;Sim;Conceição do Almeida;BA;33;Masculino;Pardo;;100;;Solteiro;Não possuo filhos ou dependentes.;3;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;10
06/04/2020 21:30;04/06/2020;Sim;Goiânia ;GO;27;Feminino;Branco;;10000;;Solteiro;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Não;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;70
06/04/2020 21:31;04/06/2020;Sim;Ipuã ;SP;24;Feminino;Branco;;3000;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;120;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:32;04/06/2020;Sim;Paulista ;PE;41;Masculino;Pardo;;8000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;400;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
06/04/2020 21:32;04/06/2020;Sim;Niterói;RJ;33;Feminino;Branco;;0;;Outro;Não possuo filhos ou dependentes.;2;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;0;Não fiz o teste.;;;Não;0
06/04/2020 21:32;04/06/2020;Sim;São Thomé das Letras ;MG;30;Masculino;Preto;;1200;;Solteiro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Sim;;Não;Não fiz nada, levei vida normal;0;Positivo;;;Não;5000
06/04/2020 21:33;04/06/2020;Sim;Ipuã ;SP;41;Feminino;Branco;;5000;;Casado;Sim, filhos ou dependentes moram comigo.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;350;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:33;04/06/2020;Sim;Brasília;DF;60;Feminino;Pardo;;10000;;Casado;Sim, filhos ou dependentes moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;2400;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;120
06/04/2020 21:33;04/06/2020;Sim;Paraguaçu Paulista ;SP;52;Masculino;Branco;;3000;;Solteiro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;25
06/04/2020 21:34;04/06/2020;Sim;Ipuã ;SP;32;Feminino;Branco;;3000;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;175;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:34;04/06/2020;Sim;Belo Horizonte ;MG;55;Masculino;Branco;;10000;;Casado;Sim, filhos ou dependentes moram comigo.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
06/04/2020 21:35;04/06/2020;Sim;Goiânia;GO;52;Masculino;Pardo;;10000;;Casado;Sim, filhos ou dependentes moram comigo.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;350;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;150
06/04/2020 21:35;04/06/2020;Sim;Recife;PE;58;Feminino;Branco;;3800;;Divorciado / Separado / desquitado;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;1120;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;190
06/04/2020 21:35;04/06/2020;Sim;Brasília;DF;24;Masculino;Branco;;1500;;Solteiro;Não possuo filhos ou dependentes.;2;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:35;04/06/2020;Sim;Teixeira de Freitas;BA;28;Masculino;Pardo;;750;;Solteiro;Não possuo filhos ou dependentes.;6;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:36;04/06/2020;Sim;Feira de Santana ;BA;38;Masculino;Pardo;;3000;;Casado;Sim, filhos ou dependentes moram comigo.;8;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;250;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;300
06/04/2020 21:36;04/06/2020;Sim;Feira de Santana ;BA;38;Masculino;Pardo;;3000;;Casado;Sim, filhos ou dependentes moram comigo.;8;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;250;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;300
06/04/2020 21:37;04/06/2020;Sim;Brasília;DF;23;Feminino;Branco;;2000;;Solteiro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;492;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
06/04/2020 21:38;04/06/2020;Sim;Tietê ;SP;68;Masculino;Branco;;8000;;Casado;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;900;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Sim;Negativo;;;Sim;300
06/04/2020 21:39;04/06/2020;Sim;Brasília;DF;27;Masculino;Branco;;7000;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;260;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;150
06/04/2020 21:39;04/06/2020;Sim;Silvânia;GO;19;Masculino;Pardo;;400;;Solteiro;Não possuo filhos ou dependentes.;4;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;120
06/04/2020 21:39;04/06/2020;Sim;Senador Canedo;GO;27;Feminino;Pardo;;3000;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;310;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:40;04/06/2020;Sim;Aparecida de Goiânia;GO;26;Feminino;Amarelo;;1200;;Solteiro;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
06/04/2020 21:40;04/06/2020;Sim;Niterói;RJ;44;Feminino;Branco;;1500;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde DURANTE A PANDEMIA.;Não;1000;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:40;04/06/2020;Sim;Silvânia;GO;27;Feminino;Pardo;;4800;;Casado;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;280;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:41;04/06/2020;Sim;Fortaleza;CE;49;Masculino;Branco;;11000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;560;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;150
06/04/2020 21:42;04/06/2020;Sim;Goiânia;GO;26;Feminino;Branco;;5000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;230;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
06/04/2020 21:43;04/06/2020;Sim;Barueri;SP;30;Feminino;Branco;;6000;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Não;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:43;04/06/2020;Sim;Goiânia ;GO;31;Feminino;Branco;;5460;;Outro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;333;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:43;04/06/2020;Sim;João Pessoa;PB;50;Masculino;Pardo;;7000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;1200;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;300
06/04/2020 21:43;04/06/2020;Sim;Jaboatão dos Guararapes;PE;26;Feminino;Preto;;1400;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;150;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;11
06/04/2020 21:44;04/06/2020;Não;Teixeira de Freitas;BA;28;Feminino;Pardo;;970;;Divorciado / Separado / desquitado;Não possuo filhos ou dependentes.;2;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:44;04/06/2020;Sim;Camaragibe;PE;34;Masculino;Pardo;;1045;;Casado;Sim, filhos ou dependentes moram comigo.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:44;04/06/2020;Sim;Brasília;DF;33;Feminino;Branco;;2200;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;400;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:46;04/06/2020;Sim;Linhares;ES;52;Feminino;Pardo;;7000;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;600;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:46;04/06/2020;Sim;São Luís;MA;22;Masculino;Preto;;1500;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;461;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;1000
06/04/2020 21:47;04/06/2020;Sim;Brasília;DF;24;Feminino;Pardo;;1100;;Solteiro;Não possuo filhos ou dependentes.;6;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:47;04/06/2020;Sim;Goiânia ;GO;52;Masculino;Branco;;8000;;Casado;Sim, filhos ou dependentes moram comigo.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;750;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;200
06/04/2020 21:47;04/06/2020;Sim;Brasília;DF;21;Masculino;Branco;;0;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:47;04/06/2020;Sim;Cruz das Almas;BA;32;Feminino;Preto;;0;;Solteiro;Sim, filhos ou dependentes moram comigo.;6;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:47;04/06/2020;Sim;Fortaleza;CE;22;Masculino;Branco;;700;;Solteiro;Não possuo filhos ou dependentes.;5;Não;Não tenho plano de saúde;;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;40
06/04/2020 21:47;04/06/2020;Sim;Montes Claros;MG;24;Masculino;Pardo;;1800;;Solteiro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:48;04/06/2020;Sim;Jaboatão dos Guararapes;PE;21;Feminino;Pardo;;1600;;Solteiro;Sim, filhos ou dependentes moram comigo.;3;Não;Não tenho plano de saúde;;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:49;04/06/2020;Sim;Brasília;DF;23;Masculino;Branco;;0;;Solteiro;Não possuo filhos ou dependentes.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
06/04/2020 21:49;04/06/2020;Sim;Paulista ;PE;39;Masculino;Branco;;1000;;Solteiro;Não possuo filhos ou dependentes.;4;Não;Não tenho plano de saúde;;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;0;Não fiz o teste.;;;Não;0
06/04/2020 21:50;04/06/2020;Sim;Brasília;DF;27;Masculino;Preto;;2000;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;419;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 21:50;04/06/2020;Sim;Brasília;DF;29;Feminino;Pardo;;5000;;Solteiro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;700;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Sim;Negativo;;;Sim;100
06/04/2020 21:51;04/06/2020;Sim;Barueri;SP;37;Feminino;Branco;;10000;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Não;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;150
06/04/2020 21:51;04/06/2020;Sim;Brasília;DF;34;Feminino;Branco;;8000;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;80
06/04/2020 21:52;04/06/2020;Sim;Barueri;SP;30;Masculino;Branco;;4000;;Casado;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;800
06/04/2020 21:52;04/06/2020;Sim;Belo Horizonte;MG;30;Feminino;Amarelo;;2900;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
06/04/2020 21:53;04/06/2020;Sim;São João d'Aliança;GO;32;Feminino;Amarelo;;800;;Casado;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;392;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;270
06/04/2020 21:53;04/06/2020;Sim;Recife;PE;30;Feminino;Pardo;;4800;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;500
06/04/2020 21:54;04/06/2020;Sim;Rio de Janeiro;RJ;27;Feminino;Branco;;2500;;Outro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;380;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;100
06/04/2020 21:55;04/06/2020;Sim;Brasília;DF;23;Masculino;Preto;;800;;Solteiro;Não possuo filhos ou dependentes.;6;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;120
06/04/2020 21:55;04/06/2020;Sim;Brasília;DF;30;Feminino;Branco;;4900;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;70;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;70
